"group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"A.HD",0,176.95,1.54578369644039,173.920319627088,179.979680372912,1,0.982878325103632,1.01712167489637,"HD_32M","ki67+memory_CD4"
"A.HD",1,176.088375502857,2.26713681397438,171.644868999443,180.531882006272,0.995130689476447,0.970019039273482,1.02024233967941,"HD_32M","ki67+memory_CD4"
"A.HD",2,174.649352367674,3.61689380992606,167.560370764313,181.738333971035,0.98699831798629,0.946936257498237,1.02706037847434,"HD_32M","ki67+memory_CD4"
"A.HD",0,177.775,1.10475218349396,175.60972550851,179.94027449149,1,0.987820140675066,1.01217985932493,"HD_35F","ki67+memory_CD4"
"A.HD",1,177.298396881002,1.537138390289,174.285660996781,180.311132765222,0.997319065566034,0.980372161421918,1.01426596971015,"HD_35F","ki67+memory_CD4"
"A.HD",2,176.543479155549,2.2379514750663,172.157174865271,180.929783445827,0.993072587009136,0.968399239855272,1.017745934163,"HD_35F","ki67+memory_CD4"
"A.HD",0,177.51,1.37453509728502,174.815960713835,180.204039286165,1,0.984823168913498,1.0151768310865,"HD_36M","ki67+memory_CD4"
"A.HD",1,176.913998655912,1.96948784875414,173.053873404364,180.774123907459,0.996642435107383,0.974896475716096,1.01838839449867,"HD_36M","ki67+memory_CD4"
"A.HD",2,175.949346578958,3.04362575832174,169.983949710229,181.914743447687,0.991208081679672,0.957602105291136,1.02481405806821,"HD_36M","ki67+memory_CD4"
"C.HD",0,178.06,0.98552335406475,176.12840972011,179.99159027989,1,0.989152025834606,1.01084797416539,"NC-13F","ki67+memory_CD4"
"C.HD",1,177.693997927326,1.37566947206304,174.997735307451,180.390260547201,0.997944501445166,0.982802062829672,1.01308694006066,"NC-13F","ki67+memory_CD4"
"C.HD",2,177.113563730565,2.01110284480041,173.17187458555,181.055252875579,0.994684733969249,0.972547874792484,1.01682159314601,"NC-13F","ki67+memory_CD4"
"MIS-C",0,173.685,2.30920704700329,169.159037355027,178.210962644973,1,0.973941545643133,1.02605845435687,"Y111-1","ki67+memory_CD4"
"MIS-C",1,171.487592706087,3.39970808794113,164.824287295772,178.150898116401,0.987348318542687,0.948984007230172,1.0257126298552,"Y111-1","ki67+memory_CD4"
"MIS-C",2,167.906281390088,5.41921384770922,157.284817424057,178.527745356119,0.966728741054715,0.905575135584865,1.02788234652456,"Y111-1","ki67+memory_CD4"
"MIS-C",0,176.705,1.40278796343273,173.955586113726,179.454413886274,1,0.984440655973094,1.01555934402691,"Y113-1","ki67+memory_CD4"
"MIS-C",1,175.760951430509,2.03546214388939,171.771518936592,179.750383924427,0.994657488076225,0.972080693452882,1.01723428269957,"Y113-1","ki67+memory_CD4"
"MIS-C",2,174.213581177565,3.18440341678269,167.972265168425,180.454897186706,0.985900688591525,0.950580148656943,1.02122122852611,"Y113-1","ki67+memory_CD4"
"MIS-C",0,173.975,2.10153688676458,169.856063389759,178.093936610241,1,0.976324548870579,1.02367545112942,"Y117-1","ki67+memory_CD4"
"MIS-C",1,171.760216277886,3.16746493751331,165.552099078066,177.968333477705,0.987269528828199,0.951585567340516,1.02295349031588,"Y117-1","ki67+memory_CD4"
"MIS-C",2,167.963787991951,5.37188754609186,157.435081872611,178.49249411129,0.965447840160659,0.904929339690251,1.02596634063107,"Y117-1","ki67+memory_CD4"
"MIS-C-R",0,177.31,1.29703953593903,174.767849223035,179.852150776965,1,0.985662676797896,1.0143373232021,"Y117-R","ki67+memory_CD4"
"MIS-C-R",1,176.605944895472,1.87614292473138,172.928772333149,180.283117457795,0.996029241979989,0.975290577706552,1.01676790625343,"Y117-R","ki67+memory_CD4"
"MIS-C-R",2,175.442833762879,2.90709888449986,169.745024649762,181.140642875995,0.989469481489361,0.957334750717739,1.02160421226098,"Y117-R","ki67+memory_CD4"
"MIS-C",0,178.51,0.750142365047593,177.039747981229,179.980252018771,1,0.991763755426749,1.00823624457325,"Y124-1","ki67+memory_CD4"
