,C27,C32,C33,C39,HA5876,HA5877,HA5894,HA5952,HA5953,HA5957,HD_32M,HD_35F,HD_36M,NC-13F,NS0A,NS0B,NS1A,NS1B,TP8B,TP9B,TS2A,TS2B,TS3A,TS3B,Y111-1,Y113-1,Y117-1,Y117-R,Y124-1,Y124-R,Y125-1,Y127-1,Y129-1,Y28-2,Y28-4,Y29-2,Y54-4,Y70-4
0,494,333,591,301,824,673,666,834,1178,955,1037,1596,859,1070,1516,412,1385,1248,209,46,549,759,832,1247,220,449,249,1208,686,1032,1352,895,130,982,961,772,926,1242
1,307,240,317,334,795,658,1039,757,888,479,1143,1114,817,1446,2165,406,685,709,186,17,251,339,170,440,143,345,292,1004,914,1495,1793,855,103,1515,1843,1475,1097,1278
2,488,544,247,473,704,558,519,454,250,378,783,501,931,727,812,463,1665,2462,206,233,1127,357,405,1065,1947,523,341,1056,710,880,306,1090,1022,843,457,1160,310,947
3,366,216,544,166,374,714,559,544,232,681,715,790,2023,496,742,268,392,558,438,99,974,617,676,602,202,623,97,635,218,568,234,600,41,443,1372,327,167,1551
4,93,60,137,84,674,350,924,273,339,490,861,661,415,1397,226,72,209,212,55,3,145,131,141,303,374,600,221,812,1025,1682,2849,596,210,784,936,951,873,548
5,327,403,202,215,347,118,237,108,103,315,225,296,490,666,517,195,560,757,179,59,169,104,294,716,697,676,241,212,2136,628,2163,1417,769,848,728,839,143,581
6,129,123,169,137,483,380,534,362,603,251,684,631,464,835,1279,276,504,435,69,7,145,225,136,354,93,223,148,495,566,833,1013,563,84,1050,1349,1154,506,842
7,80,272,59,384,532,68,46,60,564,597,1223,738,586,125,705,278,166,206,327,36,1043,768,1352,1661,396,361,44,302,46,147,175,823,81,466,296,153,242,253
8,197,245,39,217,288,244,240,230,75,181,130,100,337,383,192,124,407,675,88,58,318,57,71,218,3007,224,305,495,355,448,91,635,1090,621,202,600,82,529
9,128,147,134,213,478,204,133,156,312,398,359,715,447,394,240,129,454,720,165,21,326,220,709,1136,85,129,53,458,141,391,313,318,25,305,250,216,246,314
10,260,112,181,54,329,100,232,91,82,338,101,233,204,292,406,116,335,520,126,20,19,34,308,632,165,166,57,148,626,362,461,298,119,557,748,303,51,134
11,63,47,681,32,125,60,96,35,76,85,287,245,500,393,203,30,121,166,43,9,32,57,585,702,114,49,27,794,137,392,68,105,23,98,85,102,258,421
12,206,285,83,83,139,175,66,159,100,149,183,214,438,102,79,53,217,212,30,40,482,225,150,480,57,12,99,365,59,508,20,258,81,188,126,180,95,68
13,49,46,165,122,161,128,184,92,165,167,235,832,429,173,130,26,124,144,23,2,54,39,41,85,24,68,23,545,34,86,47,144,18,253,72,99,103,408
14,65,118,66,56,153,89,148,125,164,158,117,175,157,190,144,44,144,92,20,5,99,91,80,180,76,75,59,219,110,174,195,245,33,146,145,57,102,158
15,32,25,47,22,58,34,161,93,49,104,28,44,37,147,68,10,172,139,48,13,73,24,58,61,450,96,140,159,52,66,124,637,367,41,29,60,5,18
16,2,1,0,1,0,1,3,0,1,1,1,5,8,44,20,3,79,45,10,0,7,3,7,7,0,1,9,219,154,50,60,204,27,1001,886,586,56,23
17,36,54,85,27,87,119,51,74,56,61,88,118,209,53,71,24,77,69,47,13,296,237,55,74,15,56,10,100,22,103,61,78,3,141,200,54,32,241
18,27,43,18,19,59,10,29,13,10,61,69,132,213,120,84,16,74,106,10,6,10,10,47,111,128,87,18,29,185,145,374,201,32,140,156,92,13,85
19,30,34,41,26,70,57,86,70,122,80,74,117,88,90,54,40,44,64,19,3,77,58,44,116,115,84,82,162,85,137,87,85,19,74,53,76,62,103
20,14,56,17,9,17,17,20,14,14,14,32,21,55,53,154,178,133,151,47,7,150,183,67,393,86,124,135,60,40,26,26,21,14,6,11,19,33,40
21,1,1,34,4,18,5,79,25,8,33,3,11,33,50,73,13,68,70,19,2,50,26,20,60,71,47,47,60,5,20,32,199,26,12,8,11,779,2
22,2,49,8,0,17,17,16,44,8,3,16,5,27,11,99,37,300,81,32,2,25,56,72,68,165,293,58,24,51,22,29,7,100,18,14,5,26,29
23,43,21,20,42,50,53,43,44,17,38,81,47,78,78,38,36,37,81,10,1,48,36,32,79,2,6,9,170,16,41,16,28,5,149,80,74,38,117
24,75,55,27,31,17,17,40,11,12,14,76,88,164,50,11,9,67,99,1,4,42,13,18,33,233,79,23,71,24,4,10,115,137,5,3,12,3,0
25,23,25,5,26,43,32,11,8,6,12,23,44,58,18,33,7,5,28,16,1,46,8,8,24,0,0,2,94,7,39,4,12,3,44,61,15,33,132
26,3,1,10,2,5,17,9,7,2,17,59,53,180,5,29,1,10,9,1,0,25,23,9,19,1,20,2,28,2,14,3,30,1,12,134,6,4,77
27,9,11,7,19,8,3,11,10,5,9,26,18,135,16,14,11,20,48,2,4,24,5,8,44,46,27,2,68,5,37,2,41,3,12,5,7,0,37
28,9,0,1,2,10,10,3,1,0,19,4,5,5,25,5,2,4,39,15,1,2,2,9,35,6,4,7,12,7,25,18,33,33,35,0,20,6,29
29,0,2,0,0,0,0,1,2,0,0,1,0,39,32,8,3,16,14,0,3,1,6,0,0,0,0,0,1,0,1,0,4,10,0,0,0,0,0
